"id_tiempo","id_fecha","id_estado_cielo","temperatura","sensacion_termica","racha_max","precipitacion","nieve","humedad_relativa","probabilidad_de_nieve","probabilidad_de_tormenta","direccion_viento","velocidad_del_viento","id_municipio"
208,32,5,26,26,17.0,0.0,0,60,0,60,NE,9,5
209,33,6,24,24,9.0,0.0,0,75,0,25,NE,9,5
210,34,6,23,23,12.0,0.0,0,85,0,25,NE,6,5
211,35,6,22,22,14.0,0.0,0,90,0,25,NE,8,5
212,36,8,21,21,15.0,0.0,0,91,0,25,E,10,5
213,37,2,21,21,10.0,0.0,0,85,0,25,N,8,5
214,38,2,20,20,9.0,0.0,0,83,0,25,N,6,5
215,39,4,19,19,11.0,0.0,0,85,0,10,NE,3,5
216,40,6,19,19,14.0,0.0,0,92,0,10,O,2,5
217,41,5,18,18,13.0,0.0,0,91,0,10,NE,8,5
218,42,5,17,17,12.0,0.0,0,99,0,10,NE,9,5
219,43,6,17,17,10.0,0.0,0,96,0,10,E,5,5
220,44,4,17,17,10.0,0.0,0,93,0,10,E,7,5
221,1,9,23,23,16.0,0.1,0,65,0,70,E,9,6
222,2,9,25,25,19.0,0.1,0,59,0,70,NE,8,6
223,3,2,27,28,21.0,0.0,0,52,0,75,E,7,6
224,4,1,27,27,13.0,0.0,0,49,0,75,S,10,6
225,5,3,28,28,50.0,1.0,0,43,0,75,SO,5,6
226,6,3,27,28,9.0,1.0,0,61,0,75,S,31,6
227,7,1,25,25,61.0,0.0,0,65,0,75,NO,4,6
228,8,4,24,24,24.0,0.0,0,51,0,75,NO,24,6
229,9,8,22,22,19.0,0.0,0,62,0,65,NO,15,6
230,10,1,21,21,21.0,0.0,0,68,0,65,N,12,6
231,11,5,21,21,22.0,0.0,0,82,0,65,NE,12,6
232,12,14,21,21,23.0,0.1,0,82,0,65,N,14,6
233,13,8,20,20,16.0,0.0,0,86,0,65,N,14,6
234,14,7,20,20,24.0,0.1,0,89,0,65,N,10,6
235,15,6,19,19,34.0,0.0,0,88,0,20,N,15,6
236,16,2,19,19,27.0,0.0,0,87,0,20,N,18,6
237,17,8,19,19,23.0,0.0,0,89,0,20,NE,17,6
238,18,4,19,19,24.0,0.0,0,89,0,20,NE,14,6
239,19,5,19,19,25.0,0.0,0,90,0,20,NE,15,6
240,20,5,18,18,19.0,0.0,0,95,0,20,NE,15,6
241,21,8,18,18,23.0,0.0,0,99,0,20,N,11,6
242,22,8,20,20,17.0,0.0,0,89,0,20,NE,14,6
243,23,8,22,22,34.0,0.0,0,83,0,20,E,10,6
244,24,8,24,24,14.0,0.0,0,75,0,20,SE,21,6
245,25,8,25,25,30.0,0.0,0,67,0,20,S,3,6
246,26,1,26,26,31.0,0.0,0,56,0,20,C,0,6
247,27,8,28,29,25.0,0.0,0,52,0,50,NE,17,6
248,28,6,29,29,21.0,0.0,0,47,0,50,NE,14,6
249,29,6,29,29,23.0,0.0,0,45,0,50,NE,11,6
250,30,7,30,30,22.0,0.1,0,45,0,50,NE,11,6
251,31,5,27,28,22.0,0.0,0,59,0,50,NE,12,6
252,32,6,23,23,20.0,0.0,0,79,0,50,NE,13,6
253,33,6,24,24,12.0,0.0,0,76,0,25,NE,11,6
254,34,1,23,23,17.0,0.0,0,73,0,25,NE,7,6
255,35,1,23,23,17.0,0.0,0,79,0,25,N,11,6
256,36,2,22,22,10.0,0.0,0,87,0,25,N,11,6
257,37,6,21,21,10.0,0.0,0,85,0,25,E,6,6
258,38,8,21,21,12.0,0.0,0,83,0,25,NE,7,6
259,39,2,20,20,13.0,0.0,0,86,0,0,NE,8,6
260,40,8,20,20,10.0,0.0,0,87,0,0,E,8,6
261,41,5,19,19,15.0,0.0,0,78,0,0,E,5,6
262,42,2,19,19,20.0,0.0,0,86,0,0,N,10,6
263,43,5,19,19,11.0,0.0,0,90,0,0,N,10,6
264,44,1,18,18,5.0,0.0,0,91,0,0,NE,7,6
265,45,9,23,23,19.0,0.1,0,68,0,65,E,10,7
266,1,7,24,24,19.0,0.1,0,60,0,65,E,9,7
267,2,17,25,25,18.0,0.1,0,55,0,65,E,8,7
268,3,1,26,26,21.0,0.0,0,49,0,70,SE,8,7
269,4,8,27,27,18.0,0.0,0,46,0,70,SE,10,7
270,5,8,27,27,46.0,0.0,0,44,0,70,SE,7,7
271,6,8,28,28,15.0,0.0,0,47,0,70,SE,22,7
272,7,7,25,25,19.0,0.8,0,52,0,70,C,0,7
273,8,4,22,22,21.0,0.0,0,72,0,70,NE,12,7
274,9,7,20,20,17.0,0.1,0,81,0,70,N,11,7
275,10,9,20,20,25.0,0.1,0,77,0,70,E,11,7
276,11,9,18,18,28.0,0.1,0,78,0,70,NE,15,7
277,12,17,19,19,23.0,0.1,0,81,0,70,NE,18,7
278,13,7,18,18,28.0,0.1,0,86,0,70,NE,13,7
279,14,7,18,18,30.0,0.1,0,91,0,70,NE,17,7
280,15,2,18,18,36.0,0.0,0,95,0,15,NE,19,7
281,16,2,18,18,30.0,0.0,0,90,0,15,NE,22,7
282,17,4,18,18,30.0,0.0,0,89,0,15,NE,19,7
283,18,6,18,18,27.0,0.0,0,87,0,15,NE,18,7
284,19,5,18,18,26.0,0.0,0,91,0,15,NE,16,7
285,20,6,17,17,26.0,0.0,0,94,0,15,NE,16,7
286,21,6,17,17,26.0,0.0,0,100,0,20,NE,16,7
287,22,8,19,19,26.0,0.0,0,90,0,20,NE,15,7
288,23,8,21,21,32.0,0.0,0,80,0,20,E,16,7
289,24,8,23,23,39.0,0.0,0,77,0,20,E,16,7
290,25,8,25,25,40.0,0.0,0,68,0,20,E,25,7
291,26,1,26,26,32.0,0.0,0,60,0,20,N,18,7
292,27,14,27,28,33.0,0.1,0,54,0,55,NE,16,7
293,28,14,28,29,30.0,0.1,0,52,0,55,NE,18,7
294,29,7,28,28,28.0,0.1,0,44,0,55,NE,16,7
295,30,7,29,29,27.0,0.1,0,43,0,55,NE,16,7
296,31,7,27,27,25.0,0.1,0,49,0,55,NE,15,7
297,32,7,25,25,21.0,0.1,0,61,0,55,NE,14,7
298,33,6,23,23,18.0,0.0,0,74,0,20,NE,12,7
299,34,1,22,22,23.0,0.0,0,75,0,20,E,10,7
300,35,1,21,21,20.0,0.0,0,80,0,20,NE,14,7
301,36,5,20,20,18.0,0.0,0,89,0,20,NE,12,7
302,37,6,20,20,17.0,0.0,0,95,0,20,E,11,7
303,38,8,20,20,16.0,0.0,0,91,0,20,E,11,7
304,39,2,19,19,24.0,0.0,0,89,0,5,NE,10,7
305,40,8,19,19,17.0,0.0,0,83,0,5,E,15,7
306,41,6,19,19,23.0,0.0,0,80,0,5,NE,9,7
307,42,4,18,18,17.0,0.0,0,83,0,5,NE,14,7
308,43,5,18,18,12.0,0.0,0,85,0,5,NE,9,7
309,44,1,18,18,11.0,0.0,0,90,0,5,NE,7,7
310,1,14,26,26,16.0,0.1,0,51,0,60,E,9,8
311,2,7,27,27,18.0,0.1,0,46,0,60,E,6,8
312,3,8,29,29,21.0,0.0,0,40,0,65,SE,7,8
313,4,8,30,30,21.0,0.0,0,36,0,65,SE,8,8
314,5,2,31,31,20.0,0.0,0,34,0,65,SE,8,8
315,6,14,30,30,21.0,0.7,0,36,0,65,SO,10,8
316,7,9,28,29,33.0,0.5,0,57,0,65,NE,12,8
317,8,2,26,26,19.0,0.0,0,60,0,65,NE,20,8
318,9,1,24,24,16.0,0.0,0,60,0,40,N,9,8
319,10,6,22,22,20.0,0.0,0,70,0,40,SO,10,8
320,11,6,20,20,19.0,0.0,0,78,0,40,E,12,8
321,12,6,20,20,18.0,0.0,0,80,0,40,NE,11,8
322,13,2,20,20,11.0,0.0,0,81,0,40,N,11,8
323,14,6,19,19,11.0,0.0,0,79,0,40,NE,6,8
324,15,6,19,19,12.0,0.0,0,82,0,5,NE,7,8
325,16,4,19,19,20.0,0.0,0,80,0,5,N,7,8
326,17,4,19,19,21.0,0.0,0,85,0,5,NE,12,8
327,18,6,18,18,18.0,0.0,0,86,0,5,NE,13,8
328,19,5,18,18,23.0,0.0,0,91,0,5,NE,10,8
329,20,8,18,18,24.0,0.0,0,94,0,5,NE,14,8
330,21,6,18,18,28.0,0.0,0,97,0,15,NE,15,8
331,22,4,21,21,29.0,0.0,0,85,0,15,NE,15,8
332,23,8,23,23,30.0,0.0,0,77,0,15,NE,17,8
333,24,8,25,25,25.0,0.0,0,67,0,15,NE,18,8
334,25,13,27,29,36.0,0.0,0,70,0,15,E,15,8
335,26,1,28,29,24.0,0.0,0,57,0,15,NE,22,8
336,27,1,30,31,35.0,0.0,0,48,0,45,E,12,8
337,28,8,31,32,33.0,0.0,0,44,0,45,NE,19,8
338,29,1,31,31,28.0,0.0,0,40,0,45,NE,17,8
339,30,6,32,32,29.0,0.0,0,40,0,45,NE,15,8
340,31,1,31,31,26.0,0.0,0,41,0,45,NE,16,8
341,32,6,29,29,21.0,0.0,0,45,0,45,NE,15,8
342,33,2,28,28,18.0,0.0,0,50,0,15,NE,13,8
343,34,1,26,26,23.0,0.0,0,61,0,15,NE,11,8
344,35,1,23,23,16.0,0.0,0,71,0,15,NE,13,8
345,36,6,21,21,16.0,0.0,0,77,0,15,N,10,8
346,37,5,21,21,23.0,0.0,0,81,0,15,NE,10,8
347,38,2,20,20,24.0,0.0,0,82,0,15,NE,14,8
348,39,4,21,21,22.0,0.0,0,83,0,5,NE,15,8
349,40,4,20,20,23.0,0.0,0,84,0,5,NE,12,8
350,41,6,20,20,14.0,0.0,0,86,0,5,NE,14,8
351,42,5,19,19,12.0,0.0,0,84,0,5,N,7,8
352,43,6,19,19,9.0,0.0,0,82,0,5,N,7,8
353,44,1,19,19,9.0,0.0,0,83,0,5,N,5,8
354,45,3,22,22,16.0,0.1,0,75,0,70,E,8,9
355,1,3,24,24,15.0,0.1,0,67,0,70,E,8,9
