"id_lugar","id_municipio","id_categoria","nombre","direccion","distancia_al_centro"
478,78,1,Parque Colón,"Plaza Colón, s/n, 28220 Majadahonda Comunidad de Madrid",568.0
479,78,1,Plaza de la Constitución,Majadahonda Comunidad de Madrid,204.0
480,78,1,Parque de la Constitución,N/A,370.0
481,78,1,Estrella de la muerte,Estrella,414.0
482,78,1,Parque de la rueda,Majadahonda Comunidad de Madrid,541.0
483,78,1,Parque de la Laguna,"28220 Majadahonda Comunidad de Madrid",578.0
484,78,1,Parque del Cerro del Aire,"Avda. de España, 28220 Majadahonda Comunidad de Madrid",769.0
485,78,1,Parque,Majadahonda Comunidad de Madrid,776.0
486,78,1,Parque del Arcipreste,"28220 Majadahonda Comunidad de Madrid",886.0
487,78,1,Parque de Peco,"av. paralela, Madrid Comunidad de Madrid",1017.0
488,78,1,Parque del boniato,N/A,1025.0
489,78,1,Parque Granja del Conde,Majadahonda Comunidad de Madrid,1085.0
490,78,1,Descampado Perros,N/A,1125.0
491,78,1,Area Infantil,Las Rozas Comunidad de Madrid,1162.0
492,78,1,Parque de Bruselas,"28200 Majadahonda Comunidad de Madrid",1296.0
493,78,1,Parque de Lisboa,"Calle Comunidad de Baleares, 1-7, 28231 Las Rozas Comunidad de Madrid",1585.0
494,78,1,Parque Piscis,"28231 Las Rozas Comunidad de Madrid",1616.0
495,78,1,Parque Navaluenga,"Rodas, 28220 Majadahonda Comunidad de Madrid",1673.0
496,78,1,Parque Nuevo,N/A,1710.0
497,78,1,Jugalia,Majadahonda Comunidad de Madrid,1731.0
498,78,1,Descampado,"Calle Sonora (Calle Palenque), 28231 Las Rozas Comunidad de Madrid",1761.0
499,78,1,Parque infantil P.Paris,N/A,1925.0
500,78,1,Parque de Dublín,"28231 Las Rozas Comunidad de Madrid",1954.0
501,78,2,Academia de Teatro Noroeste,"Calle Santa Ana, 20, 28220 Majadahonda Comunidad de Madrid",209.0
502,78,9,El Teson de Figueras,Madrid,1778.0
503,78,3,Ciencias Médicas Producciones,"Calle Vid, 1, 28220 Majadahonda Comunidad de Madrid",333.0
504,78,3,Canal Rural Television,"Calle Santa Brigida, 1, 28220 Majadahonda Madrid",548.0
505,79,1,Parque Infantil del Castillo de Manzanares,"Calle del Cura, s/n (Avenida de Madrid), 28410 Manzanares el Real Comunidad de Madrid",102.0
506,79,4,Castillo de Manzanares el Real,"28410 Manzanares el Real Comunidad de Madrid",251.0
507,80,1,Parque del Lago,N/A,925.0
508,81,1,Parque Norte,Mesas,419.0
509,82,2,Gruta de Nuestra Señora de Begoña,"Calle de la Virgen de Begoña, s/n, 28792 Miraflores de la Sierra Comunidad de Madrid",843.0
510,82,2,Sociedad Cooperativa Limitada el Encinar de Miraflores,"Pza. de España, 1, Miraflores de la Sierra Madrid",5.0
511,82,2,Monumento al Perrero,"28792 Miraflores de la Sierra Madrid",126.0
